Variable,Value
x#1#1#0#3#3#4,0.0
x#1#1#0#3#3#5,0.0
x#1#1#0#4#1#1,0.0
x#1#1#0#4#1#2,0.0
x#1#1#0#4#1#3,0.0
x#1#1#0#4#2#1,0.0
x#1#1#0#4#2#2,0.0
x#1#1#0#4#3#1,0.0
x#1#1#0#4#3#2,0.0
x#1#1#0#4#3#3,0.0
x#1#1#0#4#3#4,0.0
x#1#1#0#4#3#5,0.0
x#1#1#1#3#1#1,0.0
x#1#1#1#3#1#2,0.0
x#1#1#1#3#1#3,0.0
x#1#1#1#3#2#1,0.0
x#1#1#1#3#2#2,0.0
x#1#1#1#3#3#1,0.0
x#1#1#1#3#3#2,0.0
x#1#1#1#3#3#3,0.0
x#1#1#1#3#3#4,0.0
x#1#1#1#3#3#5,0.0
x#1#1#1#4#1#1,0.0
x#1#1#1#4#1#2,0.0
x#1#1#1#4#1#3,0.0
x#1#1#1#4#2#1,0.0
x#1#1#1#4#2#2,0.0
x#1#1#1#4#3#1,0.0
x#1#1#1#4#3#2,0.0
x#1#1#1#4#3#3,0.0
x#1#1#1#4#3#4,0.0
x#1#1#1#4#3#5,0.0
x#1#1#2#3#1#1,0.0
x#1#1#2#3#1#2,0.0
x#1#1#2#3#1#3,0.0
x#1#1#2#3#2#1,0.0
x#1#1#2#3#2#2,0.0
x#1#1#2#3#3#1,0.0
x#1#1#2#3#3#2,0.0
x#1#1#2#3#3#3,0.0
x#1#1#2#3#3#4,0.0
x#1#1#2#3#3#5,0.0
x#1#1#2#4#1#1,0.0
x#1#1#2#4#1#2,0.0
x#1#1#2#4#1#3,0.0
x#1#1#2#4#2#1,0.0
x#1#1#2#4#2#2,0.0
x#1#1#2#4#3#1,0.0
x#1#1#2#4#3#2,0.0
x#1#1#2#4#3#3,0.0
x#1#1#2#4#3#4,0.0
x#1#1#2#4#3#5,0.0
x#1#1#3#3#1#1,0.0
x#1#1#3#3#1#2,0.0
x#1#1#3#3#1#3,0.0
x#1#1#3#3#2#1,0.0
x#1#1#3#3#2#2,0.0
x#1#1#3#3#3#1,0.0
x#1#1#3#3#3#2,0.0
x#1#1#3#3#3#3,0.0
x#1#1#3#3#3#4,0.0
x#1#1#3#3#3#5,0.0
x#1#1#3#4#1#1,0.0
x#1#1#3#4#1#2,0.0
x#1#1#3#4#1#3,0.0
x#1#1#3#4#2#1,0.0
x#1#1#3#4#2#2,0.0
x#1#1#3#4#3#1,0.0
x#1#1#3#4#3#2,0.0
x#1#1#3#4#3#3,0.0
x#1#1#3#4#3#4,0.0
x#1#1#3#4#3#5,0.0
x#1#1#4#3#1#1,0.0
x#1#1#4#3#1#2,0.0
x#1#1#4#3#1#3,0.0
x#1#1#4#3#2#1,0.0
x#1#1#4#3#2#2,0.0
x#1#1#4#3#3#1,0.0
x#1#1#4#3#3#2,0.0
x#1#1#4#3#3#3,0.0
x#1#1#4#3#3#4,0.0
x#1#1#4#3#3#5,0.0
x#1#1#4#4#1#1,0.0
x#1#1#4#4#1#2,0.0
x#1#1#4#4#1#3,0.0
x#1#1#4#4#2#1,0.0
x#1#1#4#4#2#2,0.0
x#1#1#4#4#3#1,0.0
x#1#1#4#4#3#2,0.0
x#1#1#4#4#3#3,0.0
x#1#1#4#4#3#4,0.0
x#1#1#4#4#3#5,0.0
x#1#1#5#3#1#1,0.0
x#1#1#5#3#1#2,0.0
x#1#1#5#3#1#3,0.0
x#1#1#5#3#2#1,0.0
x#1#1#5#3#2#2,0.0
x#1#1#5#3#3#1,0.0
x#1#1#5#3#3#2,0.0
x#1#1#5#3#3#3,0.0
x#1#1#5#3#3#4,0.0
x#1#1#5#3#3#5,0.0
x#1#1#5#4#1#1,0.0
x#1#1#5#4#1#2,0.0
x#1#1#5#4#1#3,0.0
x#1#1#5#4#2#1,0.0
x#1#1#5#4#2#2,0.0
x#1#1#5#4#3#1,0.0
x#1#1#5#4#3#2,0.0
x#1#1#5#4#3#3,0.0
x#1#1#5#4#3#4,0.0
x#1#1#5#4#3#5,0.0
x#1#1#6#3#1#1,0.0
x#1#1#6#3#1#2,0.0
x#1#1#6#3#1#3,0.0
x#1#1#6#3#2#1,0.0
x#1#1#6#3#2#2,0.0
x#1#1#6#3#3#1,0.0
x#1#1#6#3#3#2,0.0
x#1#1#6#3#3#3,0.0
x#1#1#6#3#3#4,0.0
x#1#1#6#3#3#5,0.0
x#1#1#6#4#1#1,0.0
x#1#1#6#4#1#2,0.0
x#1#1#6#4#1#3,0.0
x#1#1#6#4#2#1,0.0
x#1#1#6#4#2#2,0.0
x#1#1#6#4#3#1,0.0
x#1#1#6#4#3#2,0.0
x#1#1#6#4#3#3,0.0
x#1#1#6#4#3#4,0.0
x#1#1#6#4#3#5,0.0
x#1#1#7#3#1#1,0.0
x#1#1#7#3#1#2,0.0
x#1#1#7#3#1#3,0.0
x#1#1#7#3#2#1,0.0
x#1#1#7#3#2#2,0.0
x#1#1#7#3#3#1,0.0
x#1#1#7#3#3#2,0.0
x#1#1#7#3#3#3,0.0
x#1#1#7#3#3#4,0.0
x#1#1#7#3#3#5,0.0
x#1#1#7#4#1#1,0.0
x#1#1#7#4#1#2,0.0
x#1#1#7#4#1#3,0.0
x#1#1#7#4#2#1,0.0
x#1#1#7#4#2#2,0.0
x#1#1#7#4#3#1,0.0
x#1#1#7#4#3#2,0.0
x#1#1#7#4#3#3,0.0
x#1#1#7#4#3#4,0.0
x#1#1#7#4#3#5,0.0
x#1#1#8#3#1#1,0.0
x#1#1#8#3#1#2,0.0
x#1#1#8#3#1#3,0.0
x#1#1#8#3#2#1,0.0
x#1#1#8#3#2#2,0.0
x#1#1#8#3#3#1,0.0
x#1#1#8#3#3#2,0.0
x#1#1#8#3#3#3,0.0
x#1#1#8#3#3#4,0.0
x#1#1#8#3#3#5,0.0
x#1#1#8#4#1#1,0.0
x#1#1#8#4#1#2,0.0
x#1#1#8#4#1#3,0.0
x#1#1#8#4#2#1,0.0
