Variable,Value
x#1#1#16#4#2#1,0.0
x#1#1#16#4#3#1,0.0
x#1#1#17#3#1#1,0.0
x#1#1#17#3#1#2,0.0
x#1#1#17#3#2#1,0.0
x#1#1#17#3#3#1,0.0
x#1#1#17#4#1#1,0.0
x#1#1#17#4#1#2,0.0
x#1#1#17#4#2#1,0.0
x#1#1#17#4#3#1,0.0
x#1#1#18#3#1#1,0.0
x#1#1#18#3#1#2,0.0
x#1#1#18#3#2#1,0.0
x#1#1#18#3#3#1,0.0
x#1#1#18#4#1#1,0.0
x#1#1#18#4#1#2,0.0
x#1#1#18#4#2#1,0.0
x#1#1#18#4#3#1,0.0
x#1#1#19#3#1#1,0.0
x#1#1#19#3#1#2,0.0
x#1#1#19#3#2#1,0.0
x#1#1#19#3#3#1,0.0
x#1#1#19#4#1#1,0.0
x#1#1#19#4#1#2,0.0
x#1#1#19#4#2#1,0.0
x#1#1#19#4#3#1,0.0
x#1#1#20#3#1#1,0.0
x#1#1#20#3#1#2,0.0
x#1#1#20#3#2#1,0.0
x#1#1#20#3#3#1,0.0
x#1#1#20#4#1#1,0.0
x#1#1#20#4#1#2,0.0
x#1#1#20#4#2#1,0.0
x#1#1#20#4#3#1,0.0
x#1#1#21#3#1#1,0.0
x#1#1#21#3#1#2,0.0
x#1#1#21#3#2#1,0.0
x#1#1#21#3#3#1,0.0
x#1#1#21#4#1#1,0.0
x#1#1#21#4#1#2,0.0
x#1#1#21#4#2#1,0.0
x#1#1#21#4#3#1,0.0
x#1#1#22#3#1#1,0.0
x#1#1#22#3#1#2,0.0
x#1#1#22#3#2#1,0.0
x#1#1#22#3#3#1,0.0
x#1#1#22#4#1#1,0.0
x#1#1#22#4#1#2,0.0
x#1#1#22#4#2#1,0.0
x#1#1#22#4#3#1,0.0
x#1#1#23#3#1#1,0.0
x#1#1#23#3#1#2,0.0
x#1#1#23#3#2#1,0.0
x#1#1#23#3#3#1,0.0
x#1#1#23#4#1#1,0.0
x#1#1#23#4#1#2,0.0
x#1#1#23#4#2#1,0.0
x#1#1#23#4#3#1,0.0
x#1#1#24#3#1#1,0.0
x#1#1#24#3#1#2,0.0
x#1#1#24#3#2#1,0.0
x#1#1#24#3#3#1,0.0
x#1#1#24#4#1#1,0.0
x#1#1#24#4#1#2,0.0
x#1#1#24#4#2#1,0.0
x#1#1#24#4#3#1,0.0
x#1#1#25#3#1#1,0.0
x#1#1#25#3#1#2,0.0
x#1#1#25#3#2#1,0.0
x#1#1#25#3#3#1,0.0
x#1#1#25#4#1#1,0.0
x#1#1#25#4#1#2,0.0
x#1#1#25#4#2#1,0.0
x#1#1#25#4#3#1,0.0
x#1#1#26#3#1#1,0.0
x#1#1#26#3#1#2,0.0
x#1#1#26#3#2#1,0.0
x#1#1#26#3#3#1,0.0
x#1#1#26#4#1#1,0.0
x#1#1#26#4#1#2,0.0
x#1#1#26#4#2#1,0.0
x#1#1#26#4#3#1,0.0
x#1#1#27#3#1#1,0.0
x#1#1#27#3#1#2,0.0
x#1#1#27#3#2#1,0.0
x#1#1#27#3#3#1,0.0
x#1#1#27#4#1#1,0.0
x#1#1#27#4#1#2,0.0
x#1#1#27#4#2#1,0.0
x#1#1#27#4#3#1,0.0
x#1#1#28#3#1#1,0.0
x#1#1#28#3#1#2,0.0
x#1#1#28#3#2#1,0.0
x#1#1#28#3#3#1,0.0
x#1#1#28#4#1#1,0.0
x#1#1#28#4#1#2,0.0
x#1#1#28#4#2#1,0.0
x#1#1#28#4#3#1,0.0
x#1#1#29#3#1#1,0.0
x#1#1#29#3#1#2,0.0
x#1#1#29#3#2#1,0.0
x#1#1#29#3#3#1,0.0
x#1#1#29#4#1#1,0.0
x#1#1#29#4#1#2,0.0
x#1#1#29#4#2#1,0.0
x#1#1#29#4#3#1,0.0
x#1#1#30#3#1#1,0.0
x#1#1#30#3#1#2,0.0
x#1#1#30#3#2#1,0.0
x#1#1#30#3#3#1,0.0
x#1#1#30#4#1#1,0.0
x#1#1#30#4#1#2,0.0
x#1#1#30#4#2#1,0.0
x#1#1#30#4#3#1,0.0
x#1#2#0#3#1#1,0.0
x#1#2#0#3#1#2,0.0
x#1#2#0#3#2#1,0.0
x#1#2#0#3#3#1,0.0
x#1#2#0#4#1#1,0.0
x#1#2#0#4#1#2,0.0
x#1#2#0#4#2#1,0.0
x#1#2#0#4#3#1,0.0
x#1#2#1#3#1#1,0.0
x#1#2#1#3#1#2,0.0
x#1#2#1#3#2#1,0.0
x#1#2#1#3#3#1,0.0
x#1#2#1#4#1#1,0.0
x#1#2#1#4#1#2,0.0
x#1#2#1#4#2#1,0.0
x#1#2#1#4#3#1,0.0
x#1#2#2#3#1#1,0.0
x#1#2#2#3#1#2,0.0
x#1#2#2#3#2#1,0.0
x#1#2#2#3#3#1,0.0
x#1#2#2#4#1#1,0.0
x#1#2#2#4#1#2,0.0
x#1#2#2#4#2#1,0.0
x#1#2#2#4#3#1,0.0
x#1#2#3#3#1#1,0.0
x#1#2#3#3#1#2,0.0
x#1#2#3#3#2#1,0.0
x#1#2#3#3#3#1,0.0
x#1#2#3#4#1#1,0.0
x#1#2#3#4#1#2,0.0
x#1#2#3#4#2#1,0.0
x#1#2#3#4#3#1,0.0
x#1#2#4#3#1#1,0.0
x#1#2#4#3#1#2,0.0
x#1#2#4#3#2#1,0.0
x#1#2#4#3#3#1,0.0
x#1#2#4#4#1#1,0.0
x#1#2#4#4#1#2,0.0
x#1#2#4#4#2#1,0.0
x#1#2#4#4#3#1,0.0
x#1#2#5#3#1#1,0.0
x#1#2#5#3#1#2,0.0
x#1#2#5#3#2#1,0.0
x#1#2#5#3#3#1,0.0
x#1#2#5#4#1#1,0.0
x#1#2#5#4#1#2,0.0
x#1#2#5#4#2#1,0.0
x#1#2#5#4#3#1,0.0
x#1#2#6#3#1#1,0.0
x#1#2#6#3#1#2,0.0
x#1#2#6#3#2#1,0.0
x#1#2#6#3#3#1,0.0
x#1#2#6#4#1#1,0.0
x#1#2#6#4#1#2,0.0
x#1#2#6#4#2#1,0.0
x#1#2#6#4#3#1,0.0
x#1#2#7#3#1#1,0.0
x#1#2#7#3#1#2,0.0
x#1#2#7#3#2#1,0.0
x#1#2#7#3#3#1,0.0
x#1#2#7#4#1#1,0.0
x#1#2#7#4#1#2,0.0
x#1#2#7#4#2#1,0.0
x#1#2#7#4#3#1,0.0
x#1#2#8#3#1#1,0.0
x#1#2#8#3#1#2,0.0
x#1#2#8#3#2#1,0.0
x#1#2#8#3#3#1,0.0
x#1#2#8#4#1#1,0.0
x#1#2#8#4#1#2,0.0
x#1#2#8#4#2#1,0.0
x#1#2#8#4#3#1,0.0
x#1#2#9#3#1#1,0.0
x#1#2#9#3#1#2,0.0
x#1#2#9#3#2#1,0.0
x#1#2#9#3#3#1,0.0
x#1#2#9#4#1#1,0.0
x#1#2#9#4#1#2,0.0
x#1#2#9#4#2#1,0.0
x#1#2#9#4#3#1,0.0
x#1#2#10#3#1#1,0.0
x#1#2#10#3#1#2,0.0
x#1#2#10#3#2#1,0.0
x#1#2#10#3#3#1,0.0
x#1#2#10#4#1#1,0.0
x#1#2#10#4#1#2,0.0
x#1#2#10#4#2#1,0.0
x#1#2#10#4#3#1,0.0
x#1#2#11#3#1#1,0.0
x#1#2#11#3#1#2,0.0
x#1#2#11#3#2#1,0.0
x#1#2#11#3#3#1,0.0
x#1#2#11#4#1#1,0.0
x#1#2#11#4#1#2,0.0
x#1#2#11#4#2#1,0.0
x#1#2#11#4#3#1,0.0
x#1#2#12#3#1#1,0.0
x#1#2#12#3#1#2,0.0
x#1#2#12#3#2#1,0.0
x#1#2#12#3#3#1,0.0
x#1#2#12#4#1#1,0.0
x#1#2#12#4#1#2,0.0
x#1#2#12#4#2#1,0.0
x#1#2#12#4#3#1,0.0
x#1#2#13#3#1#1,0.0
x#1#2#13#3#1#2,0.0
x#1#2#13#3#2#1,0.0
x#1#2#13#3#3#1,0.0
x#1#2#13#4#1#1,0.0
x#1#2#13#4#1#2,0.0
