Variável,Valor
x2#3#1#1#1#2#1,0.0
x2#3#1#1#1#2#2,0.0
Q#1#1#1,0.0
I#1#1#0,80.0
I#1#1#1,67.904
yd#1#1#2#2,21.42
x#1#1#2#3#3#3,0.0
x#1#1#2#3#3#4,0.0
x#1#1#2#3#3#5,0.0
x#1#1#2#4#1#1,0.0
x#1#1#2#4#1#2,0.0
x#1#1#2#4#1#3,0.0
x#1#1#2#4#2#1,0.0
x#1#1#2#4#2#2,0.0
x#1#1#2#4#3#1,0.0
x#1#1#2#4#3#2,0.0
x#1#1#2#4#3#3,0.0
x#1#1#2#4#3#4,0.0
x#1#1#2#4#3#5,0.0
x#1#1#2#5#1#1,0.0
x#1#1#2#5#1#2,0.0
x#1#1#2#5#1#3,0.0
x#1#1#2#5#2#1,0.0
x#1#1#2#5#2#2,0.0
x#1#1#2#5#3#1,0.0
x#1#1#2#5#3#2,0.0
x#1#1#2#5#3#3,0.0
x#1#1#2#5#3#4,0.0
x#1#1#2#3#3#2,0.0
x#1#1#2#3#3#1,0.0
x#1#1#2#3#2#2,0.0
x#1#1#2#3#2#1,0.0
x#1#1#2#3#1#3,0.0
x#1#1#2#3#1#2,0.0
x#1#1#2#3#1#1,0.0
x#1#1#2#5#3#5,0.0
x2#3#1#2#1#1#1,0.0
x2#3#1#2#1#1#2,0.0
x2#3#1#2#1#1#3,0.0
x2#3#1#2#1#2#1,0.0
x2#3#1#2#1#2#2,0.0
Q#1#1#2,0.0
I#1#1#2,46.483999999999995
yd#1#1#2#3,0.0
x#1#1#3#5#3#5,0.0
x#1#1#3#5#3#4,0.0
x#1#1#3#5#3#3,0.0
x#1#1#3#5#3#2,0.0
x#1#1#3#5#3#1,0.0
x#1#1#3#5#2#2,0.0
x#1#1#3#5#2#1,0.0
x#1#1#3#5#1#3,0.0
x#1#1#3#5#1#2,17.844000000000037
x#1#1#3#5#1#1,0.0
x#1#1#3#4#3#5,0.0
x#1#1#3#4#3#4,0.0
x#1#1#3#4#3#3,0.0
x#1#1#3#4#3#2,0.0
x#1#1#3#4#3#1,0.0
x#1#1#3#4#2#2,0.0
x#1#1#3#4#2#1,0.0
x#1#1#3#4#1#3,0.0
x#1#1#3#4#1#2,0.0
x#1#1#3#4#1#1,0.0
x#1#1#3#3#3#5,0.0
x#1#1#3#3#3#4,0.0
x#1#1#3#3#3#3,0.0
x#1#1#3#3#3#2,0.0
x#1#1#3#3#3#1,0.0
x#1#1#3#3#2#2,0.0
x#1#1#3#3#2#1,0.0
x#1#1#3#3#1#3,0.0
x#1#1#3#3#1#2,0.0
x#1#1#3#3#1#1,0.0
x2#3#1#3#1#1#1,0.0
x2#3#1#3#1#1#2,0.0
x2#3#1#3#1#1#3,0.0
x2#3#1#3#1#2#1,0.0
x2#3#1#3#1#2#2,0.0
Q#1#1#3,0.0
I#1#1#3,28.639999999999958
yd#1#1#2#4,21.42
x#1#1#4#4#3#5,0.0
x#1#1#4#4#3#4,0.0
x#1#1#4#4#3#3,0.0
x#1#1#4#4#3#2,0.0
x#1#1#4#5#1#1,0.0
x#1#1#4#5#1#2,0.0
x#1#1#4#5#1#3,0.0
x#1#1#4#5#2#1,0.0
x#1#1#4#4#3#1,0.0
x#1#1#4#4#2#2,0.0
x#1#1#4#4#2#1,0.0
x#1#1#4#4#1#3,0.0
x#1#1#4#4#1#2,0.0
x#1#1#4#4#1#1,0.0
x#1#1#4#3#3#5,0.0
x#1#1#4#3#3#4,0.0
x#1#1#4#3#3#3,0.0
x#1#1#4#3#3#2,0.0
x#1#1#4#3#3#1,0.0
x#1#1#4#3#2#2,0.0
x#1#1#4#3#2#1,0.0
x#1#1#4#3#1#3,0.0
x#1#1#4#3#1#2,0.0
x#1#1#4#3#1#1,0.0
x#1#1#4#5#2#2,0.0
x#1#1#4#5#3#1,0.0
x#1#1#4#5#3#2,0.0
x#1#1#4#5#3#3,0.0
x#1#1#4#5#3#4,0.0
x#1#1#4#5#3#5,0.0
x2#3#1#4#1#1#1,0.0
x2#3#1#4#1#1#2,0.0
x2#3#1#4#1#1#3,0.0
x2#3#1#4#1#2#1,0.0
x2#3#1#4#1#2#2,0.0
Q#1#1#4,0.0
I#1#1#4,7.219999999999956
yd#1#1#2#5,7.219999999999956
x#1#1#5#4#3#4,0.0
x#1#1#5#4#3#5,0.0
x#1#1#5#5#1#1,0.0
x#1#1#5#5#1#2,0.0
x#1#1#5#5#1#3,0.0
x#1#1#5#5#2#1,0.0
x#1#1#5#5#2#2,0.0
x#1#1#5#5#3#1,0.0
x#1#1#5#4#3#3,0.0
x#1#1#5#4#3#2,0.0
x#1#1#5#4#3#1,0.0
x#1#1#5#4#2#2,0.0
x#1#1#5#4#2#1,0.0
x#1#1#5#4#1#3,0.0
x#1#1#5#4#1#2,0.0
x#1#1#5#4#1#1,0.0
x#1#1#5#3#3#5,0.0
x#1#1#5#3#3#4,0.0
x#1#1#5#3#3#3,0.0
x#1#1#5#3#3#2,0.0
x#1#1#5#3#3#1,0.0
x#1#1#5#3#2#2,0.0
x#1#1#5#3#2#1,0.0
x#1#1#5#3#1#3,0.0
x#1#1#5#5#3#2,0.0
x#1#1#5#5#3#3,0.0
x#1#1#5#5#3#4,0.0
x#1#1#5#5#3#5,0.0
x#1#1#5#3#1#2,0.0
x#1#1#5#3#1#1,0.0
x2#3#1#5#1#1#1,0.0
x2#3#1#5#1#1#2,0.0
x2#3#1#5#1#1#3,0.0
x2#3#1#5#1#2#1,0.0
x2#3#1#5#1#2#2,0.0
Q#1#1#5,0.0
I#1#1#5,0.0
yd#1#1#2#6,0.0
x#1#1#6#5#3#3,0.0
x#1#1#6#5#3#2,0.0
x#1#1#6#5#3#1,0.0
x#1#1#6#5#2#2,0.0
x#1#1#6#5#2#1,0.0
x#1#1#6#5#1#3,0.0
x#1#1#6#5#1#2,0.0
x#1#1#6#5#1#1,0.0
x#1#1#6#4#3#5,0.0
x#1#1#6#4#3#4,0.0
x#1#1#6#4#3#3,0.0
x#1#1#6#4#3#2,0.0
x#1#1#6#4#3#1,0.0
x#1#1#6#4#2#2,0.0
x#1#1#6#4#2#1,0.0
x#1#1#6#4#1#3,0.0
x#1#1#6#4#1#2,0.0
x#1#1#6#4#1#1,0.0
x#1#1#6#3#3#5,0.0
x#1#1#6#3#3#4,0.0
x#1#1#6#3#3#3,0.0
x#1#1#6#3#3#2,0.0
x#1#1#6#3#3#1,0.0
x#1#1#6#3#2#2,0.0
x#1#1#6#3#2#1,0.0
x#1#1#6#3#1#3,0.0
x#1#1#6#3#1#2,0.0
x#1#1#6#3#1#1,0.0
x#1#1#6#5#3#5,0.0
x#1#1#6#5#3#4,0.0
x2#3#1#6#1#1#1,0.0
x2#3#1#6#1#1#2,0.0
x2#3#1#6#1#1#3,0.0
x2#3#1#6#1#2#1,0.0
x2#3#1#6#1#2#2,0.0
Q#1#1#6,0.0
I#1#1#6,0.0
yd#1#1#2#7,0.0
x#1#1#7#3#1#1,0.0
x#1#1#7#3#1#2,0.0
x#1#1#7#5#3#5,0.0
x#1#1#7#5#3#4,0.0
x#1#1#7#5#3#3,0.0
x#1#1#7#5#3#2,0.0
x#1#1#7#5#3#1,0.0
x#1#1#7#5#2#2,0.0
x#1#1#7#5#2#1,0.0
x#1#1#7#5#1#3,0.0
x#1#1#7#3#1#3,0.0
x#1#1#7#3#2#1,0.0
x#1#1#7#3#2#2,0.0
x#1#1#7#3#3#1,0.0
x#1#1#7#5#1#2,0.0
x#1#1#7#5#1#1,0.0
x#1#1#7#4#3#5,0.0
x#1#1#7#4#3#4,0.0
x#1#1#7#4#3#3,0.0
x#1#1#7#4#3#2,0.0
x#1#1#7#4#3#1,0.0
x#1#1#7#4#2#2,0.0
x#1#1#7#4#2#1,0.0
x#1#1#7#4#1#3,0.0
x#1#1#7#4#1#2,0.0
x#1#1#7#4#1#1,0.0
x#1#1#7#3#3#5,0.0
x#1#1#7#3#3#4,0.0
x#1#1#7#3#3#3,0.0
x#1#1#7#3#3#2,0.0
x2#3#1#7#1#1#1,0.0
x2#3#1#7#1#1#2,0.0
x2#3#1#7#1#1#3,0.0
x2#3#1#7#1#2#1,0.0
x2#3#1#7#1#2#2,0.0
Q#1#1#7,0.0
I#1#1#7,0.0
yd#1#1#2#8,0.0
x#1#1#8#5#3#2,0.0
x#1#1#8#5#3#1,0.0
x#1#1#8#5#2#2,0.0
x#1#1#8#5#2#1,0.0
x#1#1#8#5#1#3,0.0
x#1#1#8#5#1#2,0.0
x#1#1#8#5#1#1,0.0
x#1#1#8#4#3#5,0.0
x#1#1#8#4#3#4,0.0
x#1#1#8#4#3#3,0.0
x#1#1#8#4#3#2,0.0
x#1#1#8#4#3#1,0.0
x#1#1#8#4#2#2,0.0
x#1#1#8#4#2#1,0.0
x#1#1#8#4#1#3,0.0
x#1#1#8#4#1#2,0.0
x#1#1#8#4#1#1,0.0
x#1#1#8#3#3#5,0.0
x#1#1#8#3#3#4,0.0
x#1#1#8#5#3#3,0.0
x#1#1#8#5#3#4,0.0
x#1#1#8#5#3#5,0.0
x#1#1#8#3#3#3,0.0
x#1#1#8#3#3#2,0.0
x#1#1#8#3#3#1,0.0
x#1#1#8#3#2#2,0.0
x#1#1#8#3#2#1,0.0
x#1#1#8#3#1#3,0.0
x#1#1#8#3#1#2,0.0
x#1#1#8#3#1#1,0.0
x2#3#1#8#1#1#1,0.0
x2#3#1#8#1#1#2,0.0
x2#3#1#8#1#1#3,0.0
x2#3#1#8#1#2#1,0.0
x2#3#1#8#1#2#2,0.0
Q#1#1#8,0.0
I#1#1#8,0.0
yd#1#1#2#9,0.0
x#1#1#9#4#1#3,0.0
x#1#1#9#4#2#1,0.0
x#1#1#9#4#2#2,0.0
x#1#1#9#4#3#1,0.0
x#1#1#9#4#3#2,0.0
x#1#1#9#4#3#3,0.0
x#1#1#9#4#3#4,0.0
x#1#1#9#4#3#5,0.0
x#1#1#9#5#1#1,0.0
x#1#1#9#5#1#2,0.0
x#1#1#9#5#1#3,0.0
x#1#1#9#5#2#1,0.0
x#1#1#9#5#2#2,0.0
x#1#1#9#5#3#1,0.0
x#1#1#9#5#3#2,0.0
x#1#1#9#5#3#3,0.0
x#1#1#9#5#3#4,0.0
x#1#1#9#5#3#5,0.0
x#1#1#9#3#1#1,0.0
x#1#1#9#3#1#2,0.0
x#1#1#9#3#1#3,0.0
x#1#1#9#3#2#1,0.0
x#1#1#9#3#2#2,0.0
x#1#1#9#3#3#1,0.0
x#1#1#9#3#3#2,0.0
x#1#1#9#3#3#3,0.0
x#1#1#9#3#3#4,0.0
x#1#1#9#3#3#5,0.0
x#1#1#9#4#1#1,0.0
x#1#1#9#4#1#2,0.0
x2#3#1#9#1#1#1,0.0
x2#3#1#9#1#1#2,0.0
x2#3#1#9#1#1#3,0.0
x2#3#1#9#1#2#1,0.0
x2#3#1#9#1#2#2,0.0
Q#1#1#9,0.0
I#1#1#9,0.0
yd#1#1#2#10,0.0
x#1#1#10#5#3#5,0.0
x#1#1#10#5#3#4,0.0
x#1#1#10#5#3#3,0.0
x#1#1#10#5#3#2,0.0
x#1#1#10#5#3#1,0.0
x#1#1#10#5#2#2,0.0
x#1#1#10#5#2#1,0.0
x#1#1#10#5#1#3,0.0
x#1#1#10#5#1#2,0.0
x#1#1#10#5#1#1,0.0
x#1#1#10#4#3#5,0.0
x#1#1#10#4#3#4,0.0
x#1#1#10#4#3#3,0.0
x#1#1#10#4#3#2,0.0
x#1#1#10#4#3#1,0.0
x#1#1#10#4#2#2,0.0
x#1#1#10#4#2#1,0.0
x#1#1#10#4#1#3,0.0
x#1#1#10#4#1#2,0.0
x#1#1#10#4#1#1,0.0
x#1#1#10#3#3#5,0.0
x#1#1#10#3#3#4,0.0
x#1#1#10#3#3#3,0.0
x#1#1#10#3#3#2,0.0
x#1#1#10#3#3#1,0.0
x#1#1#10#3#2#2,0.0
x#1#1#10#3#2#1,0.0
x#1#1#10#3#1#3,0.0
x#1#1#10#3#1#2,0.0
x#1#1#10#3#1#1,0.0
x2#3#1#10#1#1#1,0.0
x2#3#1#10#1#1#2,0.0
x2#3#1#10#1#1#3,0.0
x2#3#1#10#1#2#1,0.0
x2#3#1#10#1#2#2,0.0
Q#1#1#10,0.0
I#1#1#10,0.0
yd#1#1#2#11,0.0
x#1#1#11#3#3#1,0.0
x#1#1#11#3#3#3,0.0
x#1#1#11#3#3#4,0.0
x#1#1#11#3#3#5,0.0
x#1#1#11#4#1#1,0.0
x#1#1#11#4#1#2,0.0
x#1#1#11#4#1#3,0.0
x#1#1#11#4#2#1,0.0
x#1#1#11#4#2#2,0.0
x#1#1#11#4#3#1,0.0
x#1#1#11#4#3#2,0.0
x#1#1#11#4#3#3,0.0
x#1#1#11#4#3#4,0.0
x#1#1#11#4#3#5,0.0
